登記案號,序號,職稱,姓名,網站連結
063法登000001,1,董事長,嚴曙東,https://aomp109.judicial.gov.tw/judbp/whd6k/q/smSU8JVReF5aV_IxVsNVf163TFo94AvhNj82UcuJOEfRO5D0ZU2PkPk=
063法登000001,2,"董  事",林安保,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Z2zEmgTN2asK_3w0hKsqjXTnRESMs5Taj-sk6_6qlP132scq6xhCdrI=
063法登000001,3,"董  事",鄭公櫸,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vflL9--EU9ZzQaRzIr7PN1v0h6gfgu6HrMo6rrFi4qY0ltumUYDj1tE=
063法登000001,4,"董  事","凃  英",https://aomp109.judicial.gov.tw/judbp/whd6k/q/sWMTxw12XkqLXIGhacxm9HrusSwNBeHEuEhjxAuMxtv4qQPY-Pmltdk=
063法登000001,5,"董  事",石鎮生,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Mg2Vk8r4eszeygAC9jCr3eAURmfMOHd8k_yJeMPX72p4hC9F_ekUyv4=
063法登000002,1,董事長,王任遠,https://aomp109.judicial.gov.tw/judbp/whd6k/q/K4FCNhpB42OoJDU5U8XvcwzegQKzkdGw8suDgYMjBJsn_QwDyRqaIcc=
063法登000002,2,"董  事",吳延環,https://aomp109.judicial.gov.tw/judbp/whd6k/q/WgIZpd-OJQ1mcaymD0D_6ko9NpgSRCVmDZR5qiMqhMBnqK4Ns_DVCTY=
063法登000002,3,"董  事",崔唯吾,https://aomp109.judicial.gov.tw/judbp/whd6k/q/g10ES2v7QraWz-AF9FfVbanJAi-A3PkRl8jaC59HvyvJ95-lA9sRHGU=
063法登000002,4,"董  事",王培騵,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HmnOUVch4FQn6VxYN0ZA5rdSEx4tATCAShXcxizZpggzoR1Kthca2iA=
063法登000002,5,"董  事",焦沛澍,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Jg3GD206GgZRZCTIF-Re-xfiu9DJYM9CCHcArOoFyr2aUe12Y6j4sAo=
063法登000002,6,"董  事",徐伯齊,https://aomp109.judicial.gov.tw/judbp/whd6k/q/t0ZcVqkizLMbORkwQWeurSJtZPoNoPDB32CJ9KQEHpwXaiPA3KKN4h8=
063法登000002,7,"董  事",崔無忌,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sgzbtQJfVSDi1k2CdI8kKswvkdS9GvW1BHjyj4-uWrbtIEmVy1cli40=
063法登000002,8,"董  事",崔曾植,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wTO0fB8l6NB9rrFy6PYp6-0Z_xg8wqkkQZ_rm6vBpsinDaYGIe7Mi64=
063法登000002,9,"董  事",王曜臨,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3AVuuGsMnyudPFZtZLpgcwrpj7ugNYmDEuaalB7QnZSXO1o0vlrQ6hI=
063法登000002,10,"董  事",賈潔清,https://aomp109.judicial.gov.tw/judbp/whd6k/q/bY1H43R0GN7inx0t5Qi5kCmxTcBFLLfbmK8UNZHnp0ijRWIRd5ojT1g=
063法登000002,11,"董  事","王  治",https://aomp109.judicial.gov.tw/judbp/whd6k/q/Uq6oijUF8sCpvib06zNYYNpvZt8bLa--B1d_N1azjjBmgQIN9tm6oYc=
