登記案號,序號,職稱,姓名,網站連結
067法登000002,1,董事長,蘇振輝,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1e4_8QIci1mB-o_HysJsRfzpHVULesoZjVcJqtgD1Cd6xGUdpYVXvg==
067法登000002,2,"董  事",王耀南,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vLo9SZe8H9oM9lVtdmH6qGUFTwWFhoPulLqQRwWYQ0-E5zkylM-wpQ==
067法登000002,3,"董  事","翁  摡",https://aomp109.judicial.gov.tw/judbp/whd6k/q/26DX7QZeDTew96FPQJd7EjVeOToNFAu7i9NlruG5nDJm9xhDrUxlag==
067法登000002,4,"董  事",于占魁,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NLgiimFODEki1tD9hPIR-djfbZWyeoRJwrcznKe8coto7_284T48lw==
067法登000002,5,"董  事",吳行全,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GqG71oJGOC-4aNIy6l9UR1cXr-T8jQ6FchxjC6AQCQ2Udos2QZGSow==
067法登000002,6,"董  事",林榮春,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BjWQqMSvkn3oP-UFitBHNnLrWvGtSTg7k2Lc_sSa9rGSmlE8Nl3g0A==
067法登000002,7,"董  事",洪江林,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-MxCVPDJDuTnjrAsRJTCYWlrJwe4VC5qi6CNftC-65-kqIwmtEDA-A==
067法登000002,8,"董  事",陳錫卿,https://aomp109.judicial.gov.tw/judbp/whd6k/q/x7HwsrdAe3Fw1epp6MgHBVzdFBcESf9RTflar1mULudoKAvGMXLX1w==
067法登000002,9,"董  事",張霈華,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hF47edO2_p5Gz7mq99eSxHAeTKtiQmjzmUyTV1c6ZJovREcsYTxNEQ==
067法登000002,10,"董  事",黃大煪,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PdLkrvePbLK7KHsT0LCuzs5B3miROWXB2P-ffBZLNNGzs60V1OQGxQ==
067法登000002,11,"董  事",楊春木,https://aomp109.judicial.gov.tw/judbp/whd6k/q/UF9rIDgdHqpf3Py19en11KOF9dDOf3MJmfI7GFXTpTwHBTjF1aRFQQ==
067法登000002,12,"董  事",葉山母,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Rjk-gCjW8R3h_w6d2Ucok9cFJMvMmprEbAcV9iB-vbX-SM2v0gw6Vw==
067法登000002,13,"董  事",鄭錦泉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Z2qZAC1iDJk3rG-IfBzQknqWihfxoQzC8olJ1UrFyDTBAl4kPA8fag==
067法登000002,14,"董  事",鄭耀火,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rWy2B23nZ6bLI0Tj96V8vbHDiNZuoyGMr6NEx03HPtO5yolXrBii4A==
067法登000002,15,"董  事",蔡長啟,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PIX62wmh5NhVOjyo9ws4NwgScNglteMuwEhWurx7chjO9rQNSrUniA==
