登記案號,序號,職稱,姓名,網站連結
083法登000002,1,"理 事 長",薛國忠,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_M3-8NCGyLJKu1zbz_SFzThiJhOxkhKRgq3MrwUcvzn8zlNr-LKSaA==
083法登000002,2,常務理事,劉丁乾,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-l4OW-a6dsoXFAiv0XBawqoX3QRCZY6vetJhNtWLx6nDRgxYs01SCg==
083法登000002,3,"總 幹 事",陳金國,https://aomp109.judicial.gov.tw/judbp/whd6k/q/eDpJSyR6vZVrrDwaa54l5ZEtLxyD7q4UAOHh7gnsbyzK31tCVjmCQg==
083法登000002,4,"理    事",張添根,https://aomp109.judicial.gov.tw/judbp/whd6k/q/JeEhCaP-v4GyQZZSn9TBufNmWkSqY1lgEtAPM_Lm-JQ3Fw6dfbCe1A==
083法登000002,5,"理    事",王俊輝,https://aomp109.judicial.gov.tw/judbp/whd6k/q/L9fjWB0FcqA8CrMz5X0BcJJ5SKUXnscdNN7oXbUwcJzvlndbyd54TA==
083法登000002,6,"理    事",紀武松,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cIi_OwdBfTFEhic7r8GRhk6mx2VME7W0lBVltX2jKZQAnhWpyHMcHw==
083法登000002,7,"理    事",顏美麗,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IgF2C06jzITEr7i8RGgOo5QLQvZ6C4PMRbC86HBeOphuZrnBRWdwJA==
083法登000002,8,"理    事",洪春茶,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-mfzRaKaRYW2JNlhZ9F-Tlc_QJ1JptQ9L2pQMX7b4gtxhVGT15MBBQ==
083法登000002,9,"理    事",張協進,https://aomp109.judicial.gov.tw/judbp/whd6k/q/H2cOsApTghtZ-gQhn3DBcLSIx0FZr0rUc4q8IPoHDJwtsuhzRCQvxg==
083法登000002,10,"理    事",余文瑞,https://aomp109.judicial.gov.tw/judbp/whd6k/q/QdbN34YtYE7kaCIovbk9HMt_r6WfoXdfrRdbnoX3q5r6DIeOw9j93w==
083法登000002,11,"理    事",魯惠良,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PQAH6DGjGBE4BHA3Brb-6-9acQ5xmITYT7snoCRFzZPXHonunX-wHw==
083法登000002,12,"理    事",何錫章,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RfyJ2dWIzwnQwGyRD9u7TkVgEiwgkYXmeZWRIa42C5itqKvwJsQIiQ==
