登記案號,序號,職稱,姓名,網站連結
089法登他000001,1,董事長,林吉男,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3uR4os3NYPVql_d3-h4YGjB6fFQjH2n2lkbYA8BECoF9YXFkX8mYYtRnJA==
089法登他000001,2,"董  事",黃忠偉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SQome1OqRKQSiKDsabETElyJaq8WpvUtL1VwRD6S5_mpwG601GAKH-A0Mg==
089法登他000001,3,"董  事",曹世鐸,https://aomp109.judicial.gov.tw/judbp/whd6k/q/j2zLnvoCMrgfZo17nZRMYyFYjCWLr1QycYkAPoo6FWbwfQaXzEfFzsTPdg==
089法登他000001,4,"董  事",胡淑華,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k7F-4MgEEJu97O5-yKUfel9gadzdlm5Kvw1qnB-Cg6AbNIP8GWa1xXlofg==
089法登他000001,5,"董  事",戴志成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/AgYc0sy-WmbFFNX0nItjM_QhGcYLPsrIJWi5Iwqqh3QurZHfkiBA74DkZA==
089法登他000001,6,"董  事",黃龍章,https://aomp109.judicial.gov.tw/judbp/whd6k/q/siYZ8UmipSbhDR9nVaXh9Ebv_c9oNHlOFzX8gPOYGgXN9aYmy4Cp-YQ2lA==
089法登他000001,7,"董  事",吳發丁,https://aomp109.judicial.gov.tw/judbp/whd6k/q/xtzRK38k5RjSyRcbJsOiK7wHFo4DjOIyN__qhVfyjbX1r9-grbPikNXiIQ==
089法登他000001,8,"董  事",李復興,https://aomp109.judicial.gov.tw/judbp/whd6k/q/C40h-J1VpZysBYd6GgoPNOEhvPjByGhS0KPHXXHuz3Uljodap5uUB8JMFg==
089法登他000001,9,"董  事",趙福添,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HBIRZH1gTej6KfBQa79sMEkFgxR_KDcl19vbMTj5OroTdpHzr6vurmajhw==
089法登他000002,1,董事長,黃道宜,https://aomp109.judicial.gov.tw/judbp/whd6k/q/DZ9HtFw7VSF_1TQVywBBcni6l8QBtNpf_auyYDmWwg2y19HforuNMhf2IQ==
