登記案號,序號,分事務所地址,網站連結
090法登他000054,1,臺中市工業區三十七路二十五號、臺北市信義路三段一六二號六樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cX_C3E0mFM258kws5YC4vsfpYNfjtRHnJ-2AlzBOpD6nGHTRKuljFHE9CtQ=
090法登他000061,1,臺中縣烏日鄉中山路一段一四四號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/VRyxqXMIxHLqns8vew1AvlEha0EMvh0ok2fyWqgDRAHVJYc9P44Yeh1idqQ=
090法登他000083,1,臺中縣大甲鎮平安里和平路十七號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/lS3cqDe8ODrFgv5sBF3dtR7h-emmHqaeWtnIDKp7RygYzMZEyhfgNN1OvVg=
090法登他000118,1,臺北市信義路四段二十五號十一樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/05itFFxCwYyiMLNwMJbMqOh65UlDVeU53ITSYxB7Adkv3-QUJo9uCcf41D4=
090法登他000141,1,台北市建國北路二段六九號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EWi2vwHdwAlHW5SdNbuTp6GJ9Vw_XbDn8Qx6Gc1YN-H5IMGkvMZu6dKqbP4=
090法登他000155,1,台北市建國北路二段六九號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5sw-E2wzTxnct2-NNkI_vpk6-HXCQKBd5_Yco7aGgZz7OTo9bb1VCaXicS8=
090法登他000156,1,臺中市工業區三十七路二十五號、臺北市信義路三段一六二號六樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-PecT8xtH6XKA_YpSFKDY4o5cjbQcskiAg2kFBv03Pjon7qk2eSuicoR7Xc=
090法登他000157,1,臺中市北屯區橫坑巷九十五號、高雄市左營區文學路五一０號、,https://aomp109.judicial.gov.tw/judbp/whd6k/q/gwhSII6oTG9JvzMHWHiOptjKCHHzMW85t58wbZ8Vi5l87MBk-rIN378cFhs=
090法登他000157,2,花蓮縣花蓮市海濱路十二之五號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/njzzdO3wLr7dGdRAA3uek4BLCWxbPLX4auuNvoI2rdaK--mTuDlMaQE_8Q8=
090法登他000180,1,臺中市自由路二段六號六樓之二,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SzH6LNnUYegAc0F7hFxbat_d5S_ibpEDcQKLuiNQvkAXJGYcQrVwqkGVWX8=
090法登他000187,1,南投縣草屯鎮虎山路三三二巷一六六號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OQKD15GhCDGPjJKATFMIQy-weu2p5YoQEWYCJhX9DvLq7a3Fh1PKs-eIrlA=
090法登他000189,1,臺中市復興路四段二三一之一號三樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/WcVmgtFaYdHten7XoqQycZLG0AEF6g3PyWyXt0Bu8oRuYRHJ2YHOO5Y6OLY=
090法登他000189,2,高雄市苓雅區自強三路七號七樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/v9Apyn2QvHr9XWF7Zhbib6uT5d8AXvHdCzbpLTKjRABvLHyBLJAgEZb4GWU=
090法登他000189,3,臺北市光復北路十一巷三十五號Ｂ一　,https://aomp109.judicial.gov.tw/judbp/whd6k/q/E-KEJIQhSSh2yD0fj7xKnp4HKrEgVWz5R0M45Z7WIe06DWNnuxj10_elE8Q=
090法登他000189,4,臺北市南京東路二段六號十樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KHVefqnXaHoeXW4GGcBmU0UNUm1-p48gVaD3o17l0tTNp2TChZ7tLpK1_rs=
090法登他000228,1,臺北市信義路四段二十五號十一樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RzfPXGub7zHqD1JG5VcgrP2nMsv73K1VPJDk-d--zfl0UI9YAhWJmjVQ8RI=
090法登社000008,1,臺中市北屯區綏遠路二段二一六之二號三樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/uBSInc-0d9YQonw0zf5zkeFBjLBQon6uNYds5Nj1zrLUw20xjQVqU01nl20=
