登記案號,序號,職稱,姓名,網站連結
091法登他000002,1,董事長,劉丹桂,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IITtyOmvxJwxhTIIoyg2vWEKGHp4SgwjwzNlDrG8LlGzMJZUTOP0s9HA
091法登他000002,3,董　事,呂道南,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iIOjUHizGJV9PHFsXmvxwk6n7S4fbpvsTWckCySFTQlCXkt-HPvbZEaC
091法登他000002,5,董　事,鄧燊昌,https://aomp109.judicial.gov.tw/judbp/whd6k/q/n4Be-lJqaAvUaUUceoaHTcinPzQqTivTO7O9H3ZBw7yss3qfFn5G7GHz
091法登他000002,6,董　事,鞏金章,https://aomp109.judicial.gov.tw/judbp/whd6k/q/D4KdQyGh8jqhZkIOGcioMIm2ZFrZXnj6ne4-1RH19RSuXJLX51hOYGbA
091法登他000002,7,董　事,姚宗鑑,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7PR0EoCQh7lCaU-9v49F8eb-Y4XimUH6Iblku-8ZU4JE4lU74fYdbn6c
091法登他000002,8,董　事,聶增榮,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SOURZ6DawblOHVIb514gjav8luisSSuI07GSXPRpn9pZirF7BcUnD4JX
091法登他000002,12,董　事,歐晉德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/bHeVH0O9_RpLIkzYPIuFxKF_eJ6uNSoZXgM2a2kZRq9FPnk8n6ABKPjp
091法登他000002,13,董　事,羅文思,https://aomp109.judicial.gov.tw/judbp/whd6k/q/d7tX6HOs8L3yCv0Vs_5qL3dvUWuG4N40wk9BiqA6U7UZIrNCJ2bcti_C
091法登他000002,14,董　事,戴志成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iDi27Au5AqqUDKSdWBvZjR4EQN4_jgJ7vTbnFUBAbujr_SaOBAy8JRRK
091法登他000002,15,董　事,王承前,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fvuHVyRdAcqSl0HnHViX2vyZl5eas10TdMEvA-lQUov-asAo2kiP2CXu
091法登他000002,16,董　事,蘇崑勇,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IoF7InNDHh2MH9thQ6mtBBS4md9SMZBau60NjvQ9Wjwc7rPmJDXiPk59
091法登他000002,17,董　事,呂若瑟,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Oe5HfS6tc0Kkv6ocq5oxoayW6qB9Y4sIdQDJJpVKLSwK5CYGyahCwqcs
091法登他000002,18,董　事,陳金發,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ieW4YbTn45vfYMFvW6Wn4cp1K3cnGmgLOOWKB2nd3YTmmSy5yhFnO8Ph
091法登他000007,1,董事長,田志成,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pBl6gW7KFZCLqBolbU0gPXGq945zpUeAIv7qiwJwfjLBL0kznv3ia5JPgIg=
091法登他000007,2,"董  事",張鐵柱,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OZE8XB8gdMIbp3v2yF2aVl78bn-PnVUI4zEXGIaT83nSMFzkDSY5smGKoSU=
091法登他000007,3,"董  事",欒丕聖,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7nLYVo2xJQNiQvKWcVCv5GJKGWXx1HhJU7sOSG8yLrgQZjhsdnYCeyHT8Gw=
091法登他000007,4,"董  事",陳鴻烈,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ADAlpAeKG_gfQ7WYC5PdBIn_AO5TGIT314n6eHy9g-Fqt8RxCvhka51rCAc=
091法登他000007,5,"董  事",劉鐵真,https://aomp109.judicial.gov.tw/judbp/whd6k/q/f6o2k8LVPK_Rjd3aT27TIOcNpMe1y1MQ0JoBg2cLLGXSiReM3Bhle_NatOI=
091法登他000007,6,"董  事",陳炳宏,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_yjjTYOjGckMcf7Jh02sttGaS09wiZheetRaXzhDVjjoxLEr5RsIm2ENyyU=
091法登他000007,7,"董  事",黃群修,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pAT7soIUxOJKYANCL-VqzW8_Rf_1ZafzdkJmiU8dkcfCmwkCv72O44pQATo=
091法登他000007,8,"董  事",張麗籮,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Lsmjaoih9EjPPP3sDLr4f8z8LproAU3PhN-9oAQnd0DCTn_fcT-2aLE8LMI=
091法登他000007,9,"董  事",黃春國,https://aomp109.judicial.gov.tw/judbp/whd6k/q/BToWKYNs5vkSUJhX07jZKMPHwcDchpblL1OUkfp9YN4RFLFkmphHf9Au7HQ=
091法登他000007,10,"董  事",楊彬江,https://aomp109.judicial.gov.tw/judbp/whd6k/q/hojPF1C5dj5bc99-2ixcD_RwySWl67cx_GoNr3Wxq0HvAMHWqmDyScLOi2g=
091法登他000007,11,"董  事",俞清文,https://aomp109.judicial.gov.tw/judbp/whd6k/q/aIEbfUEIHSQ_fzTq1aqXg0PInBJVuumX6R_7UNPvXcuCE-RLcrjwiSmL7ns=
091法登他000007,12,"董  事",李威震,https://aomp109.judicial.gov.tw/judbp/whd6k/q/3nWAPvPpI36wworva5819siM1WJ_50S2LbYdXYkJPuCh0En5vFlmGQZ3Rbw=
091法登他000007,13,"董  事",林德雄,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mY14uTy99nVZrpH4ijV6kUTZmArsBR-OJVMnDUW3JsnbSXguQ9KbbuhA1bc=
091法登他000007,14,"董  事",宋清德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Xixg6OlOlua6JPdgalPp-9Y_w5uLr8nk7Q0PiulxBVs2BA5ESFdxohvrPms=
091法登他000007,15,"董  事",林永爍,https://aomp109.judicial.gov.tw/judbp/whd6k/q/9zyq56QEFa2Bi3EH9umhjahVFWaqvZ36Ur4oIgnSBcRSyHOxi9cr-BClhVE=
091法登他000012,1,理事長,李文漢,https://aomp109.judicial.gov.tw/judbp/whd6k/q/uR5iskA1r2dijaFKeCmcsZXK-WktKmYAgfmEPSPnK-0BqwYNelCsgYN-3tA=
091法登他000012,2,常務理事,簡枝春,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wtBEBTNQi3jJYPYHuTFwIc8CZ3yTWFBeH-AfN2NBykwSTYQfccQaN4VWpUA=
091法登他000012,3,常務理事,盧明輝,https://aomp109.judicial.gov.tw/judbp/whd6k/q/VepsJqC9pIcVSLUjMReompvIinAQtRdLR9Aq3gLoMAbsoHv3oVpyvf7FcnY=
091法登他000012,4,"理  事",陳耀明,https://aomp109.judicial.gov.tw/judbp/whd6k/q/MuS4O-0p9huo2pnsINWAC2Of_m41dcxj9nCKv7_PNuMzEi0DCY9LOwNOBQM=
091法登他000012,5,"理  事",沈錦文,https://aomp109.judicial.gov.tw/judbp/whd6k/q/O4dyGblUn_ph0G4AgGE4pvkZz-O9Ct9UfHOAlSN-k3AxYoLk-qcipR4LvnY=
