登記案號,序號,分事務所地址
097法登他000040,1,臺中市西屯區工業區三十七路２５號
097法登他000040,2,臺北市信義路三段１６２之２４號６樓
097法登他000066,1,嘉義市五福街131巷9號(嘉義市辦事處)
097法登他000066,2,臺中縣潭子鄉勝利九街17號(臺中縣辦事處)
097法登他000066,3,南投縣南投市中興路626號(南投縣辦事處)
097法登他000095,1,臺北市信義路四段２５號１１樓
097法登他000115,2,高雄市苓雅區自強三路７號７樓
097法登他000115,3,臺北市南京東路五段１０８號４樓
097法登他000131,1,臺中市北區德化街３６８號(臺中市連絡處)
097法登他000141,1,
097法登他000161,1,臺中縣豐原市豐年路１５號
097法登他000174,1,高雄縣六龜鄉新寮村三民路８１之６號
097法登他000182,1,南投縣草屯鎮虎山路３３２巷１６６號
097法登他000211,1,臺中市西屯區工業區三十七路２５號
097法登他000211,2,臺北市信義路三段１６２之２４號６樓
097法登他000287,1,臺北市民權西路91號11樓之6
097法登他000296,1,臺中縣潭子鄉大通街100號(新城分事務所)
097法登他000296,2,臺中縣太平市大興十一街146號(坪林分事務所)
097法登他000299,1,臺中市西屯區工業區三十七路２５號
097法登他000299,2,臺北市信義路三段１６２之２４號６樓
097法登他000315,1,臺北市文山區樟新街６３號
097法登他000316,1,臺北市松山區敦化北路１３１號
097法登他000316,2,臺中市北區進化北路３６９號７樓
097法登他000316,3,高雄市苓雅區中山二路４１２號３樓
097法登他000316,4,桃園縣平鎮市延平路一段１６８號
097法登財000022,1,臺中市西屯區西平南巷６之６號
