登記案號,序號,分事務所地址
099法登他000053,1,新竹市經國路1段343之1號4樓
099法登他000053,2,高雄市三民區九如二路583號11樓
099法登他000053,3,桃園縣中壢市環西路83號
099法登他000053,4,宜蘭縣宜蘭市慈安路27號
099法登他000053,5,"花蓮縣光復鄉中山路2段129號 之1樓"
099法登他000053,6,台北市光復北路60巷19之6號地下樓
099法登他000053,7,台北縣三峽鎮國光街12巷10號1樓
099法登他000053,8,台中縣大里市爽文路870號
099法登他000053,9,高雄縣鳳山市濱山街6之6號
099法登他000053,10,嘉義市西區福義街12號
099法登他000053,11,嘉義縣竹崎鄉鹿滿村鹿山路60號
099法登他000053,12,台南縣東山鄉東山村500號
099法登他000053,13,苗栗縣大湖鄉大湖村民權路15之2號
099法登他000053,14,南投市漳興里漳興巷51號地下室1樓
099法登他000053,15,彰化縣和美鎮東發路190號
099法登他000053,16,雲林縣斗六市平等街53號
099法登他000053,17,屏東縣東港鎮中正路一段10之1號
099法登他000053,18,台東縣延平鄉桃源村昇平路191號
099法登他000053,19,台中市北屯區北屯路212巷9號2樓
099法登他000053,20,高雄縣鳳山市濱山街6之6號
099法登他000053,21,台南市北區北門路二段362號
099法登他000098,1,新竹縣新豐鄉新興路1號
099法登他000102,1,新竹市光復路1段531巷72之8號
099法登他000113,1,新竹縣新豐鄉新興路1號
099法登他000115,1,台北市青島東路五號三樓之一
