登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
103法登他000001,1,2,游惠美,171,1030102,1030102,1030103,6冊55頁,2,14,陳履安,辭修學校財團法人,0620319,新北市三峽區溪東路251號,以創辦私立辭修高級中學並謀其發展為目的,由財團法人陳誠文教基金會捐助,台灣省政府教育廳六十一年五月二十七日教二字第四二００七號,永久,777249419.00,1,1030102,,,,董事印鑑。,,,,
103法登他000002,2,2,游惠美,1200,1030102,1030102,1030103,40冊39頁,1,3,鍾信榮,社團法人中華民國亞東劇團藝術協會,0940127,新北市板橋區四川路二段117巷49號1樓,協助政府及結合企業各界推動藉由戲劇及藝術表演來淨化人心，走向高品質生活並提升人類生命的尊嚴發揚生命真、善、美。,入會費、常年會費、事業費、會員捐款、委託收益、基金及其孳息、其他收入。,內政部中華民國94年1月3日台內社字第0940068009號函。,永久,21000.00,1,1030102,,,,主事務所變更為新北市板橋區四川路二段117巷49號1樓。,,,,
103法登他000003,2,2,游惠美,1010,1030102,1030102,1030103,34冊29頁,1,1,黃鵬飛,社團法人中華聖莊靈舍協會,1010105,新北市土城區慶利街5號,以弘揚佛道儒古聖賢善知識真理為立基，導以純正思維正心持善之修習，使身心靈之淨化啟發有正確方向依歸，不分教別相互交流和諧團結，弘道益世倡行固有道德為宗旨。,入會費、常年會費、事業費、會員捐款、委託收益、基金及其孳息、其他收入。,內政部中華民國100年11月5日台內社字第1000229881號,永久,54501.00,1,1030102,,,,"新任理監事印鑑。
修正組織章程第30、36條條文。",,,,
103法登他000004,2,2,游惠美,715,1030102,1030102,1030103,25冊3頁,2,2,林美珠,社團法人台灣慈德廣善功德會,0961102,新北市三重區中正北路560巷34號2樓,以服務社會扶弱濟貧為宗旨,入會費、常年會費、事業費、會員捐款、委託收益、基金及其孳息、其他收入。,內政部96年10月4日台內社字第0960150564號函,永久,50000.00,1,1030102,,,,理監事印鑑。,,,,
103法登他000005,1,2,游惠美,3,1030103,1030103,1030106,1冊5頁,1,11,林榮三,財團法人紀念林建生文化教育基金會,0701103,新北市蘆洲區三民路178號,以舉辦文化教育為目的,由林謝罕見、林堉璘、林榮三等捐助,台北縣政府七十年七月二十九日北府教三字第一七０二五二號,永久,283777923.00,1,1030103,,,,,,,,
103法登他000006,1,2,游惠美,47,1030106,1030106,1030107,2冊45頁,2,9,邱益三,財團法人邱海水文教基金會,0790330,新北市土城區中央路2段191號15樓之6,以協助政府推廣教育政策，推動文化學術研究，資助家境清寒及有志向上升學之優秀學生為宗旨。,由邱海水捐助,台北縣政府七十九年二月六日北府教一字第三六五四九號函,永久,60000000.00,1,1030106,,,,董事印鑑。,,,,
103法登他000007,1,2,游惠美,230,1030106,1030106,1030107,8冊53頁,2,14,徐旭松,財團法人新北市私立豫章高級工商職業學校,0621128,新北市板橋區四川路1段391號,為遵照國家教育政策暨現行法令之規定，辦理新北市私立豫章高級工商職業學校，並謀健全發展。,"由文  起、喻耀離、胡水源、鄭衍青、唐治華、幸鐵華、潭之瀾等七人捐助。",台灣省政府六十二年七月二十日教三字第五０九七五號許可書,永久,257460821.00,1,1030106,,,,"董事印鑑式。

法人圖記變更。
修改章程第1條、第2條、第4條條文。",,,,
103法登他000008,1,2,游惠美,67,1030107,1030107,1030108,3冊27頁,1,7,鄭森河,財團法人新北市中國基督教靈糧世界佈道會三重靈糧堂,0801219,新北市三重區力行路1段79號4樓,以往普天下去傳福音給萬民聽，並建立教會為宗旨。,由萬小運等人捐助,台北縣政府八十年十二月十日北府民二字第三八四０一八號函,永久,1829868.00,1,1030107,,,,"法人圖記變更。
修正捐助暨組織章程第1、5、8、15條條文。",,,,
103法登他000009,1,2,游惠美,213,1030108,1030108,1030109,8冊19頁,1,12,丘寧世,財團法人新北市私立竹林國民小學,0620615,新北市中和區華新街143巷12號,為創辦新北市私立竹林國民小學並謀其發展。,由中外熱心教育人士等捐助,台北縣政府六十二年五月二十九日北府教二字第五二八六七號函,永久,64074435.00,1,1030108,,,,新任董事印鑑。,,,,
103法登他000010,1,2,游惠美,355,1030108,1030108,1030109,13冊3頁,1,3,馬振軍,財團法人新北市召會泰山會所,0880518,新北市板橋區民生路2段228號2樓,本基督之精神，傳揚基督教義及辦理社會公益事業。,由鄭師呂捐助,台北縣政府八十八年五月十二日北府民二字第一七七二０三號函,永久,5317928.00,1,1030108,,,,"法人圖記變更。
修正捐助章程第1、2條條文。",,,,
103法登他000011,1,2,游惠美,90,1030109,1030109,1030110,4冊13頁,1,8,黃忠臣,行天宮醫療志業醫療財團法人,0820114,新北市三峽區復興路399號,"為從事醫療志業辦理醫療機構及秉持  恩主公五倫八德之聖訓、行天宮之宗旨及慈善濟世之理念，並發揮醫德、精研醫學、提昇醫術與不以營利之前提來促進民眾身心健康及社會祥和等目的。",由財團法人台北市行天宮捐助,行政院衛生署八十一年十二月十七日衛署醫字第八一八五三０一號函,永久,3047758034.00,1,1030109,,,,,,,,
103法登他000012,1,2,游惠美,46,1030109,1030109,1030110,2冊43頁,1,12,丘寧世,財團法人新北市私立竹林國民小學附設幼兒園,0790313,新北市永和區竹林路34號,為創辦新北市私立竹林國民小學附設幼兒園，並謀其發展之目的。,由創辦人捐助,台北縣政府七十九年二月二十六日北府教二字第六一四二五號函,永久,7210430.00,1,1030109,,,,,,,,
103法登他000013,1,2,游惠美,238,1030109,1030109,1030110,9冊9頁,1,15,孫柔遠,財團法人新北市私立徐匯高級中學,0540909,新北市蘆洲區中山一路1號,為發揚天主教耶穌會教育理念。,由財團法人天主教耶穌會捐助,台灣省政府教育廳五十二年八月七日教二字第０三０四六號令,永久,629229272.00,1,1030109,,,,,,,,
103法登他000014,1,2,游惠美,172,1030109,1030109,1030110,6冊57頁,1,9,許正秋,財團法人新北市樹林鎮南宮,0670703,新北市樹林區千歲街2號,以宏揚教義，敦睦信徒，增進友誼，興辦社會福利公益慈善事業，樹立互助合作團結精神及獎助地方教育，拔擢人才為宗旨。,由信徒捐助,台北縣政府六十六年五月十三日北縣民一字第九七０九三號,永久,12909846.00,1,1030109,,,,"法人圖記變更。
修正捐助暨組織章程第1、2、20條條文。",,,,
