登記案號,序號,職稱,姓名,網站連結
105法登他000001,1,理事長,陳水能,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NX1nklqNhnDPZBrCEzdrjL1k6poqA1UoV5vJDAB9PN2GUs4XifeChGfm_g==
105法登他000001,2,常務理事,陳天賜,https://aomp109.judicial.gov.tw/judbp/whd6k/q/DcyVXCGkgLqdfu5CXaBpc1NHQ07nAKlDuyfymZYZxw_U_9ZDcAjDcA4mag==
105法登他000001,3,常務理事,陳昆第,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cRMEvBFUXOhUtXQZj7uINGvl00oV5IeE_CnXSTYyj6OCDkvvHPX33yPfvQ==
105法登他000001,4,"監  事",陳春元,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pOV2rhBfy_CuX_KrCJql9Ikqixs31P48E1CgxK_0ROVxQphvfreReIriOg==
105法登他000001,5,"理  事",陳宗堯,https://aomp109.judicial.gov.tw/judbp/whd6k/q/aMOQ3zHZN9x0A2I147LlhavYtOpnUxpiM3bwumHzW5T65irhHGvCk45g1Q==
105法登他000001,6,"監  事",陳明德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/d6GPwJCHizIe3DRSq9wBkZvdFqPI6cK-Iywe3hNZlJ47RmfNCuT88LqVvQ==
105法登他000001,7,常務監事,陳國琦,https://aomp109.judicial.gov.tw/judbp/whd6k/q/m3kj6U25z4xYBh4bO8QNRbX25-yxXCHtPUfI7d3BadrWrzTJnFP8ITLbLw==
105法登他000001,8,"理  事",陳慶發,https://aomp109.judicial.gov.tw/judbp/whd6k/q/A5DlSgR-dpkEujr7P6dCPm6AxgPIU6MrtdTRTv3vQqs2Esc8kwF4mUktsA==
105法登他000001,9,"理  事",陳添進,https://aomp109.judicial.gov.tw/judbp/whd6k/q/f3jb02cdreu2MnjjHSl4nDtV2XJpLRvXbG38gtyX0tn8ygUJ-bfzfRUmxw==
105法登他000001,10,"理  事",陳德發,https://aomp109.judicial.gov.tw/judbp/whd6k/q/9nMQxzrCB6PE2S60YFz0M36Y5v0HFJknGTtRv4wS2yeTpXTvQKR-R1XREg==
105法登他000001,11,"理  事",陳德水,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IZcdnyLwMQOIIwIRmSMEfZwG4g7v3FjmS0ulBB64Sloi_C8-453ATE2Odg==
105法登他000001,12,"理  事",陳德泉,https://aomp109.judicial.gov.tw/judbp/whd6k/q/039AuAR-cIan7MOPQ5e5OTYbhq0j7guzSslIJ6p_qK-DitG06dDa7yVJsw==
105法登他000001,13,"理  事",陳炎進,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1dC_iTulgRBPvNcStNzScCVz8-vRPCE7E007rRPdZVDLunT42UHOE89huA==
105法登他000001,14,"理  事",陳水沛,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OFIdTqpGK6Na8h-yx-r3HQRkkDeBuDVxrL8Sh3A_YVhhEjKm7ISX5sirHg==
105法登他000002,1,常務理事,張雲德,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mWveZF3jrMPl9vje2tqftMjs0cQlWjivHsJIoY3PI2T9Nk_7vY5yDMaK-oc=
105法登他000002,2,常務理事,張延騰,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2r_O4JKF2LsjUSLDfJKU43PjXCoaRb2-ytdAlN6dtzp-mn6aFedEv0fIS30=
105法登他000002,3,理事長,張吟音,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IS4gPDkXQNFzsWqgdaCRHbligPmC7tvsL5T7FOCa5aG_t9Fs-W-Z1GurgXg=
105法登他000002,4,常務理事,張瀚龍,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZEBHrvD6plR5CDPO_UAZCJcJmWKVeMXNdTd1hBjT54DtkarZm2wZJdt8zvE=
105法登他000002,5,常務理事,張生財,https://aomp109.judicial.gov.tw/judbp/whd6k/q/XjwRr_k3YTkUIm7G9xhnsmNFtAD7KX7Iu21rVVLAJszQ3Y0kYstPPWcgAUs=
105法登他000002,6,"理  事",張瑞心,https://aomp109.judicial.gov.tw/judbp/whd6k/q/7aj6i83tq1xIkiQfvbs_uFbuYHunumHSjGq5G6N3Oi8u08UwFy75hA4JXu0=
105法登他000002,7,理　事,張培堆,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RZkWt4kYApl4XeKTTK3rCjZ83ErdQ8GRFBXBEnCrVTCaTWmDivcOugN4MS8=
