登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
108法登他000001,1,2,黃倩玲,21,1080103,1080111,1080111,2冊13頁,1,17,柯明謀,財團法人臺灣省彰化縣私立精誠高級中學,0670624,彰化縣彰化市平和里林森路200號,為發展地方教育，培植青年蔚為國用創設本校。,捐贈,"臺灣省政府教育廳 民國45年10月9日許可",永久,728988275.00,1,1080111,1080315,1080118,,財產總額變更,,,,
108法登他000002,1,2,黃倩玲,140,1080103,1080109,1080109,3冊155頁,2,8,賴照發,財團法人彰化縣私立愛如心老人養護中心,0850110,彰化縣芬園鄉舊社村中興路376號,1.老人扶養、2.老人療養、3.長期照護、4.各項老人福利服務及活動等。,由粘仲仁等捐助、自由捐助。,彰化縣政府，中華民國84年11月21日,永久設立,47104169.00,1,1080109,1080315,1080116,,董事變更,,,,
108法登他000003,2,2,黃倩玲,246,1080107,1080124,1080124,5冊37頁,2,12,王康壽,社團法人彰化縣公害防治協會,0910327,彰化縣鹿港鎮永寧街242號,⑴防治公害、維護生態環境、保育自然資源⑵宣導環保意識、推展環保工作⑶協助縣民解決公害問題⑷協助辦理公害救助。,⑴會員入會費與常年會費⑵社會各界之捐贈,"彰化縣政府 中華民國75年10月21日彰府社政補字第77007號",永久,948411.50,1,1080124,1080315,1080131,,理監事變更,,,,
108法登他000004,1,2,黃倩玲,287,1080107,1080119,1080119,5冊119頁,2,6,郭鐘添,財團法人彰化縣私立希望社會福利慈善事業基金會,0930524,彰化縣大村鄉大村村田洋橫巷2之9號3樓,1.推廣社會福利教育事項。2.附設社會福利服務機構。3.關於兒童、青少年、婦女、老人、身心障礙者福利相關事項。4.關於各項急難救助相關事項。5.關於低收入戶補助事項。6.關於獎助學金事項。7.關於志願服務相關事項。8.出版社會福利相關書籍與媒體。9.其他相關社會福利慈善事業事項。10.承辦主管機關委託之社會福利相關事項。,原始基金,"彰化縣政府 中華民國93年5月13日府社老字第0930090834號函同意設立",永久,10000000.00,1,1080119,1080315,1080126,,董事變更,,,,
108法登他000005,1,2,黃倩玲,11,1080107,1080128,1080128,1冊21頁,1,15,蕭松喜,財團法人彰化縣私立大慶高級商工職業學校,0620524,彰化縣員林市山腳路2段206號,教授現代化知識，培養專業人才。,捐助,"台灣省政府教育廳 中華民國53年8月21日",永久,845756440.00,1,1080128,1080315,1080204,,董事變更,,,,
108法登他000006,1,2,黃倩玲,422,1080108,1080109,1080109,6冊103頁,2,4,李敏森,財團法人彰化縣私立李氏社會福利慈善事業基金會,0990624,彰化縣福興鄉秀厝村秀安二街300號,一、關於關懷社區貧困家庭及幫助事項。二、關於關懷社區孩童學習及資助事項。三、關於關懷社區老年醫療及照顧事項。四、關於關懷社區婦女生活及協助事項。五、關於關懷社區弱勢族群及發展事項。六、接受主管機關指導辦理事項。七、其他有關社會福利慈善事業事項。,捐助,"彰化縣政府 99年5月27日",永久,10000000.00,1,1080319,1080315,1080116,,董事變更,,,,
108法登他000007,1,2,黃倩玲,247,1080108,1080116,1080116,5冊39頁,1,6,林亮暉,財團法人彰化縣私立葳群公益慈善事業基金會,0910329,彰化縣永靖鄉永福路2段218號,舉辦公益社會福利慈善事業為宗旨,由財團法人彰化縣私立圓通老人養護中心捐助,"彰化縣政府 中華民國91年1月30日府社福字第09100212370號",永久,37000000.00,1,1080116,1080315,1080123,,董事變更,,,,
108法登他000008,2,2,黃倩玲,541,1080110,1080130,1080130,8冊17頁,2,6,張寶月,社團法人彰化縣新移民協會,1021011,彰化縣永靖鄉光雲村中山路2段560巷37號,"1.協助新住民增進對國家文化、地方風格之認識。
2.協助政府宣揚政令，推廣社區活動功能。
3.協助新住民關於共同利益之維護。",入會費及年費,"彰化縣政府 92年8月17日彰府社政字第0920157984號",永久,6000.00,1,1080130,1080329,1080206,,理監事變更、捐助章程變更。,,,,
108法登他000009,1,2,黃倩玲,624,1080110,1080219,1080219,8冊183頁,2,2,陳朝廷,財團法人千朝文化藝術基金會,1041216,彰化縣彰化市桃源里龍涎路60巷15號,提昇文化生活品質，健全藝術發展環境，籌建「千朝文化藝術博物館」,捐助現金,"彰化縣政府 中華民國104年11月24日府授文推字第1040397400號",永久,5000000.00,1,1080219,1080315,1080226,,董監事變更,,,,
108法登他000010,1,2,黃倩玲,228,1080111,1080124,1080124,5冊1頁,2,7,陳秋蓉,財團法人彰化縣私立真善美社會福利慈善事業基金會,0900308,彰化縣二水鄉復興村山腳路3段211號,"㈠兒童福利 ㈡青少年福利 ㈢婦女福利 ㈣老人福利 ㈤身心障礙福利 ㈥慢性精神病 ㈦醫療補助 ㈧急難救助 ㈨低收入補助 ㈩災害救濟 志願服務 主管機關指導 獎助學金 辦理教育訓練",永久捐助,"彰化縣政府 中華民國九十年二月六日許可設立",無限期,10000000.00,1,1080124,1080315,1080131,,董事變更,,,,
