登記案號,序號,分事務所地址,網站連結
108法登他000005,1,分事務所：南投縣南投市中山街79號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rXxg88hFqxSPhFYJinXdJsRXj5iCOGVI4wZUZL39yZeCY1QBDJi2LqlrpME=
108法登他000020,1,南投縣草屯鎮中正路358之158號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mIl8iLD1-fJCcAD3gex9u-AVtRO467b3FQvtvKEMOTVy_dMHyW998-FFBFE=
108法登他000020,2,台中市西區民權路312巷4號地下室,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yCBHnBDiqw2Rt52CVtN31jTRxVul87HHeYpsIkrg6tZNJofREXKIOMhftvk=
108法登他000076,1,南投縣中寮鄉永芳村龍南路277之20號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OrDXO3eUMws6V6B8ENXr7jN--hMScV2XDd2-zTQ-jHWZrzLP7pBu1C7Xww==
108法登他000083,1,分事務所：南投縣南投市民族路573號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/S46RarunKJysdQMf5GqFy3cHVmW147xVWWBz9ISDha2xhgEohwbTxfRZjg==
108法登財000001,1,臺北市大同區民權西路91號11樓之6,https://aomp109.judicial.gov.tw/judbp/whd6k/q/N0ehHm0jMcxpzMSzoVTIyq36lYRt8bvs7Lifgd2WaSNypGxXS-Zo1Sk9ZrY=
108法登財000001,2,南投縣南投市中正路330之12號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/qirukUuFrYn3sdSKX8uLmjhAI2iQlwOiv7ziDI_99zq0dqgem9ip8Lxz84U=
108法登財000001,3,南投縣南投市仁德路23號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FgqpW_UzMPUj0hj75vu2bfAqzmSj_l5pGNNumvSg3qKCI5UHxdlBeNXffzs=
108法登財000002,1,臺中市西區自由路一段140號4樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/o1QM6VVYw34q35E0KtTSfL78DfUN5wgDwPCyROReN9s_Ln5zaNHZcVjeisY=
108法登財000002,2,高雄市前金區六合二路281號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZwqXueItAXFhMbcN5oO3ZmqKFvV4WYjMPmbNoxvnDC4rVYgYf4zzNPwzIfQ=
108法登財000002,3,臺南市中西區府前路一段155號之1,https://aomp109.judicial.gov.tw/judbp/whd6k/q/6CJGYySznZ1mUfwbj-SVmg6XpYtqw60J_mFVMr5frBkux3i-j3JyGYAbYT0=
108法登財000002,4,桃園市桃園區中正路48巷2號,https://aomp109.judicial.gov.tw/judbp/whd6k/q/i5nj3dkUjgT-bBr2upLzhT8JIs5A0cBtv7ssF5I7cPlLHb_93BhgL2tieDc=
108法登財000002,5,新竹市林森路29號4樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1RPRq9y1-G1u1J_CtG2gBNEfuUz0zGKpdXmiIp_qFqVxfbE5mUbUfYc0gYA=
108法登財000002,6,苗栗縣苗栗市中正路510號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pD1PY8utezXmn6BnNIqZkbNCeJi81FY_AvY4ZoPsp-THQKXPMTiDhi7im0w=
108法登財000002,7,南投縣南投市復興路101號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/wSxl4kTxGyTE_utKzROjOOdwrILBOnUQGNVSuU7opAcb0g-WxOKBbVuwJlg=
108法登財000002,8,雲林縣斗六市文化路27號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/nI5Ozo1WH5mEIPYXZB2jX_bqjFvuEzc_3v8n9uxSOyzlZc6-o-F7lL5l9BM=
108法登財000002,9,嘉義市中山路306號5樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Zwcw1oiZE14ll0nu6WCtTws2YEy1qdLayeZ3hie5Pw3L8aiOHDwEHt-plGg=
108法登財000002,10,屏東縣屏東市中山路43號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CjJOCw0ha2zoj2gzdgUfINGSfBYFX5jmNAqErHwCjkHx7UKWGksRI4UW7r0=
108法登財000002,11,宜蘭縣宜蘭市舊城南路50號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RFpvvHzWatLcnhBRbklfMHeQY4Ux-nBjhS0z3jQUxhnbI_OcjblUZE6R9Oo=
108法登財000002,12,花蓮縣花蓮市公園路3號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GMnNNltOMV0qM0u4ePwc2JpuX2xmNid7x_uAzYXjTbw_YM13mz3xhX24jic=
108法登財000002,13,臺東縣臺東市中華路一段373號3樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/nBR-ZnTCHv_-WWJQZfG7UFN8DwaGaHAsQAMGXGDoVYBwZ8j8x2kb-c_pIAk=
108法登財000002,14,澎湖縣馬公市仁愛路24號2樓,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GtzmuPiVgRinvXGHyAWkEJ2w-7NlSCZ1Vni4DwGvVO0tN15MZ3YR1pFa_mI=
