登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
111法登他000001,2,2,李成在,86,1110120,1110120,1110126,4冊42頁,2,22,王秀玉,社團法人金門縣婦女會,0350616,金門縣金湖鎮新湖里塔后129號,以結合婦女力量，加強推展婦女社會福利、服務工作並鼓勵婦女同胞重視兩性平權、親職教育、環保、婦女安全、家暴、性侵害等問題，以發揮婦女誠摰溫柔特質，化解社會暴戾之氣，建立幸福美滿家庭及安祥和樂社會為宗旨,會費、政府委辦活動經費、特別費、視實際需要，經理事聯席會議決議並報請主管官署核准勸募或由會員樂捐、各界贊助活動費,金門縣政府、民國三十五年六月十六日,永久,912959.00,1,1110201,,1110207,,,,,,
111法登他000002,2,2,李成在,243,1110120,1110120,1110214,8冊12頁,2,3,李昭來,社團法人金門縣金沙鎮官澳李氏宗親會,1060102,金門縣金沙鎮官澳37之1號,1.幫助本會會員之事務處理。2.以服務地方鄉親及推動地方事務發展。3.發揚宗親血緣之傳統禮俗觀念。,"1.入會費。 2.常年會費。 3.事業費。 4.會員捐款。 5.委託收益。 6.基金及其孳息。 7其他收入。",金門縣政府民國104年10月27日府社行字第1040084740號函,永久,521748.00,1,1110201,,1110207,,,,,,
111法登他000004,1,2,李成在,160,1110120,1110120,1110126,5冊82頁,2,12,薛祖耀,財團法人金門縣薛氏基金會,0790712,金門縣金城鎮珠山83之1號,本法人以增進宗親福利及連絡宗親感情，並回饋鄉親，舉辦社會公益事業為宗旨。,"1.珠山學堂租金收入。 2.捐助基金。 3.財產孳息及其他收入。",金門縣政府79年7月12日（79）縣民字第3553號,永久,2364188206.00,1,1110201,,1110207,,1.財團法人金門縣薛氏基金會第九屆第一次董監事改選。2.變更董監事、印鑑、法人代表登記事項。,,,,
111法登他000005,1,2,李成在,180,1110120,1110120,1110126,9冊12頁,2,5,吳啟騰,財團法人金門吳氏基金會,0770323,金門縣金城鎮環島西路1段251號,本會以發揚吳氏文化傳統美德暨獎助優秀子弟就學為宗旨。(一)發揚吳氏三襄傳芳美德。(二)發放獎、助學金。(三)興辦族親急難扶助之福利與社會公益慈善事業為目的。,本會設立獎學基金共新台幣200萬元整，由金門吳氏宗親會提供，俟完成財團法人變更登記後，得繼續接受捐贈。,金門縣政府、77.03.04（77）撫民字第2081號,永久,12267745.00,1,1110201,,1110207,,,,,,
111法登他000006,2,2,李成在,36,1110128,1110128,1110226,1冊2頁,2,13,李誠智,社團法人金門縣退除役軍人協會,0840114,金門縣金城鎮民生路52號,一、促進退除役軍人團結情誼。二、爭取退除役軍人合法權益與共同福祉。三、維護國家社會安定和利益。,入會費、常年會費，捐助，基金及孳息收入，政府補助款收入，其他收入,金門縣政府、83.10.07.(83)縣民字第26610號函,永久,17866017.00,1,1110201,1120807,1110221,,第10屆會議理、監事印鑑、法人變更登記,,,,
111法登他000007,2,2,李成在,78,1110128,1110128,1110214,6冊66頁,2,8,楊榮時,社團法人金門縣康復之友協會,0921009,金門縣金城鎮光前路72-3號,以協助精神疾病患者獲得完善醫療與復健，增強社會大眾對精神疾患的關懷與接納、為其爭取應有之權利與福利、促進心理健康為宗旨。,1.入會費。2.常年會費。3.贊助費。4.事業費。5.會員捐款。6.委託收益。7.基金及其孳息。8.其他收入。,福建省金門縣政府民國90年10月23日(90)府社字第9020656號函,永久,1364416.00,1,1110201,1120807,1110221,,,,,,
111法登他000008,1,2,李成在,7,1110301,1110301,1120303,2冊91頁,2,7,蔡祥坤,財團法人福建省金門縣金城鎮東門里代天府,0680227,金門縣金城鎮東門里珠浦東路12之1號,本法人本於仁愛之精神，傳揚和諧之道教教義，以淨化人心，提昇社會道德，興辦公益事業、增進社會福祉、協助地方建設，提昇生活品質為宗旨。,1.本財團法人成立時接受捐助所得財產2.本財團法人成立之後接受其他捐贈或理財所得其他財產3.前二款資產法定孳息及天然孳息,金門縣政府、68.2.20.(68)坊民字第1596號,永久,48768005.00,1,1110301,,1110317,,,,,,
111法登他000009,2,2,李成在,209,1110301,1110301,1120303,4冊21頁,2,11,董水輪,社團法人金門縣董楊宗親會,1030127,金門縣金城鎮民族路221號,本法人以倡導敦親睦族、增進宗親情誼、發揚倫理道德、砥礪忠孝節義為宗旨。,1.會員會費。2.本法人之財產孳息及事業收入。3.各界捐贈。4.其他收入。,金門縣政府民國62年4月8日核准設立。92年5月5日府社行字第0920023359號補發立案證書。,永久,10684962.00,1,1110301,1120807,1110317,,,,,,
111法登他000010,2,2,李成在,215,1110301,1110301,1110322,4冊92頁,1,4,黃靜柯,社團法人金門縣青少年暨兒童關懷協會,1030527,金門縣金城鎮前水頭66號,本會為依法設立，非以營利為目的之社會團體，主要以導正青少年、兒童偏差行為及不正確價值觀，協助青少年、兒童健全其人格，幫助其自我成長為宗旨。,1入會費。2.常年會費。3.政府機關之補助。4.捐助收入。5.轄區內辦理各項活動之收入。6.基金及其孳息。7.其他收入。,金門縣政府99年9月23日府社行字第0990062339號,永久,472306.00,1,1110301,1120807,1110317,,第3屆理監事任期屆滿，改選產生第4屆理監事。印鑑變更。財產變更。,,,,
111法登他000011,1,2,李成在,97,1110301,1110301,1110310,3冊12頁,2,6,張火良,財團法人金門大佛園區開發基金會,0950622,金門縣金城鎮中興路205巷5號,本法人本於發揮宗教仁愛之精神，以興辦社會教化、公益慈善事業及促進地區宗教事業之發展為宗旨,由陳國勛、李台山、王振利、王水衷、張邦育、洪成發、林成炎、張火良、楊水應、李炷烽等10人捐助。,金門縣政府、95.6.12.府民治字第0950028097號函,永久,9500000.00,1,1110301,1120807,1110317,,,,,,
