登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
115法登他000001,2,2,全國榮,780,1150105,1150105,1150105,37冊19頁,1,,張麗玉,社團法人臺灣治療性社區聯盟,1141030,屏東縣屏東市古松西巷716號,本會為依法設立、非以營利為目的之公益性社會團體，促進台灣成癮治療性社區及成癮相關社區處遇服務之相關組織團體、相關工作人員之實務工作及研究發展，透過會員交流與國內外相關學術團體聯繫及合作，以推展臺灣治療性社區及成癮相關社區處遇之實務工作服務、學術、研究及教育訓練為宗旨,捐贈,內政部中華民國114年10月15日台內團字第1140287363號函,永久,0.00,1,1150105,,,,圖記變更。,,,,
115法登他000002,2,2,全國榮,681,1150105,1150105,1150105,32冊20頁,2,14,李煥源,社團法人屏東縣愛鄉協會,1100423,屏東縣屏東市中正路552巷13號,本會為依法設立、非以營利為目的之社團法人，以關懷屏東地區之人文、生態環境為宗旨,常年會費/事業費/會員捐款/委託受益,屏東縣政府中華民國85年12月7日屏府社政字第548號函,永久,1000000.00,1,1150105,,,,新任理、監事印鑑。,,,,
115法登他000003,2,2,全國榮,527,1150106,1150106,1150106,25冊6頁,2,5,楊美卿,社團法人屏東縣竹葉林身心障礙關懷協會,1040126,屏東市溝美里長春街115號,本會為依法設立，非以營利為目的之社會團體，以推展社會福利服務弱勢族群為宗旨，本會並結合社區環境輔導其生活矯治，技職教育，就業安置，回歸社區生活，以實現於經濟，社會生活上的所有潛能為宗旨。,愛心捐款,屏東縣政府中華民國104年1月7日屏府社政字第10379295200號函,永久,15000.00,1,1150106,,,,新任理、監事印鑑。,,,,
115法登他000004,1,2,全國榮,117,1150107,1150107,1150107,4冊13頁,2,11,蘇威菘,財團法人蘇天生文教基金會,0850306,屏東縣東港鎮中正路1段210號,推展文教公益活動。,由安泰醫院及各地熱心人士捐助。,屏東縣政府八十五年二月十二日屏府教社字第二五０二二號函。,永久,5000000.00,1,1150107,,,,新任董事印鑑。,,,,
115法登他000005,1,2,全國榮,16,1150112,1150112,1150112,1冊17頁,1,18,楊弘仁,財團法人大仁科技大學,0550228,屏東縣鹽埔鄉新二村維新路20號,1.發揚「力學行仁」服務社會人群之精神。2.教授應用科學與技術。3.培養實用科技與人文並重之專業人才。,由本校董事會捐贈,"五十四年十月十六日教育部 台（54）高字第一六一五八號",永久,3000653132.00,1,1150112,,,,,,,,
115法登他000006,1,2,全國榮,14,1150113,1150113,1150113,1冊15頁,1,18,劉忠志,美和學校財團法人,0541021,屏東縣內埔鄉美和村屏光路23號,為協助政府發展教育並培養護理管理人才為宗旨。,由徐傍興捐助,教育部中華民國55年8月11日(55)高13292號函,永久,2534225110.30,1,1150113,,,,繼任董事印鑑。,,,,
115法登他000007,2,2,全國榮,513,1150116,1150116,1150116,24冊12頁,2,5,曾鳳愈,社團法人屏東縣萬丹鄉道教乾坤活道元母洞學會,1030612,屏東縣萬丹鄉香內路104巷31弄22號,本會以推廣文化教育、宏揚道教精神、提倡正確信仰、舉辦公益活動、關懷社會安定、增進人群溝通、促進團體互動為宗旨。,會費收入、政府補助,屏東縣政府中華民國102年08月22日屏府社字第10225169900號函,永久,27795002.00,1,1150116,,,,新任理、監事印鑑。,,,,
115法登他000008,2,2,全國榮,655,1150121,1150121,1150121,31冊14頁,1,3,王慧玲,社團法人屏東縣生涯發展協會,1090312,屏東縣潮州鎮朝昇路22巷32號,以關懷人民終生的生涯發展，提供生涯發展相關之規劃交流、教育訓練活動、刊物等，並落實生涯發展之推動為使命。,常年會費,屏東縣政府中華民國108年11月11日屏府社政字第10878748400號函,永久,50000.00,1,1150121,,,,繼任理事印鑑。,,,,
115法登他000009,1,2,全國榮,355,1150123,1150123,1150123,16冊14頁,1,6,蔣龍煌,財團法人屏東基督教日光園,0980406,屏東縣屏東市瑞光里香揚巷1-6號,為宣揚基督教義，發揮宗教仁愛精神及興辦社會公益慈善業務。,由財團法人台灣基督長老教會屏東中會捐贈,屏東縣政府中華民國98年3月30日屏府民禮字第0980063760號函,永久,74714742.00,1,1150123,,,,新、繼任董事印鑑。,,,,
115法登他000010,2,2,全國榮,363,1150126,1150126,1150126,17冊2頁,2,6,曾昭雄,社團法人屏東縣深耕永續發展協會,0980902,屏東縣長治鄉崑崙路73-1號,秉持愛鄉愛土之理念，欲結合相關社區專業及關心社區人士，從事社區營造之研究與實務推展。以傳承、推廣地方文化，扶助社區發展，關注地方事務、文化保存、環境生態、社會福利、地方產業發展等議題，並獎勵會員之相互學習，培養其自助助人之能力。,會員贊助、其他捐款、專業收入與孳息,屏東縣政府中華民國98年6月26日屏府社政字第0980144625號函,永久,20000.00,1,1150126,,,,新任理、監事印鑑。,,,,
